Voltage,Angle
181.39,180
176.47,175
171.54,170
166.62,165
161.94,160
156.28,155
151.36,150
145.45,145
140.03,140
134.62,135
129.45,130
124.03,125
118.86,120
113.69,115
108.03,110
103.35,105
98.68,100
93.26,95
88.58,90
83.17,85
78.49,80
72.33,75
68.15,70
62.73,65
58.55,60
54.12,55
49.19,50
44.52,45
40.58,40
35.90,35
31.47,30
26.55,25
20.88,20
16.45,15
11.28,10
7.10,5
1.68,0
